Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Label_x,Label_y,mean_return,volatility
3/6/2020,2020,3,6,Friday,9,2020-09,106.26,110.32,105.02,108.08,38159400,101.78,-5.171,117.6707143,125.6672,Red,Red,-1.3388000000000002,4.575919546932616
3/9/2020,2020,3,9,Monday,10,2020-10,96.57,99.23,93.0,93.44,40352000,87.99,-13.549,114.8321429,124.8522,Red,Red,-0.14339999999999975,12.827406491571084
3/10/2020,2020,3,10,Tuesday,10,2020-10,99.0,101.28,94.58,100.7,31102700,94.83,7.774,112.3571429,124.1468,Red,Red,-0.14339999999999975,12.827406491571084
3/11/2020,2020,3,11,Wednesday,10,2020-10,97.7,100.05,94.55,95.96,38127000,90.37,-4.703,109.5635714,123.3504,Red,Red,-0.14339999999999975,12.827406491571084
3/12/2020,2020,3,12,Thursday,10,2020-10,89.59,96.96,86.32,88.05,49725200,82.92,-8.244,106.3514286,122.4144,Red,Red,-0.14339999999999975,12.827406491571084
3/13/2020,2020,3,13,Friday,10,2020-10,95.99,103.99,92.0,103.91,38543300,97.85,18.005,104.4507143,121.7626,Red,Red,-0.14339999999999975,12.827406491571084
3/16/2020,2020,3,16,Monday,11,2020-11,85.2,93.98,84.55,88.36,38589700,83.21,-14.962,101.9014286,120.7864,Red,Red,-3.9617999999999993,8.675197012172116
3/17/2020,2020,3,17,Tuesday,11,2020-11,90.89,97.44,87.5,93.76,35239800,88.3,6.117,99.69,119.9468,Red,Red,-3.9617999999999993,8.675197012172116
3/18/2020,2020,3,18,Wednesday,11,2020-11,87.67,90.79,80.36,83.89,41525600,79.0,-10.532,97.16857143,118.9234,Red,Red,-3.9617999999999993,8.675197012172116
3/19/2020,2020,3,19,Thursday,11,2020-11,81.56,88.11,76.91,85.3,32175100,80.33,1.684,95.09642857,117.9708,Red,Red,-3.9617999999999993,8.675197012172116
3/20/2020,2020,3,20,Friday,11,2020-11,86.3,89.46,82.48,83.5,30150800,78.63,-2.116,92.53857143,116.9642,Red,Red,-3.9617999999999993,8.675197012172116
3/23/2020,2020,3,23,Monday,12,2020-12,82.68,83.75,78.09,79.03,32536600,74.42,-5.354,89.98714286,115.864,Green,Green,2.0241999999999996,8.10919692078075
3/24/2020,2020,3,24,Tuesday,12,2020-12,84.9,90.1,82.9,88.43,34363200,83.28,11.905,87.87428571,114.9668,Green,Green,2.0241999999999996,8.10919692078075
3/25/2020,2020,3,25,Wednesday,12,2020-12,89.24,95.15,84.54,91.73,38111700,86.38,3.722,86.37785714,114.1104,Green,Green,2.0241999999999996,8.10919692078075
3/26/2020,2020,3,26,Thursday,12,2020-12,94.08,98.57,93.54,98.12,29826300,92.4,6.969,85.70785714,113.3442,Green,Green,2.0241999999999996,8.10919692078075
3/27/2020,2020,3,27,Friday,12,2020-12,93.19,94.84,90.55,91.13,30041500,85.82,-7.121,85.55285714,112.4856,Green,Green,2.0241999999999996,8.10919692078075
3/30/2020,2020,3,30,Monday,13,2020-13,90.65,94.09,89.3,93.5,21656900,88.05,2.598,85.06857143,111.6616,Red,Red,-1.3274000000000001,4.305766168755567
3/31/2020,2020,3,31,Tuesday,13,2020-13,92.05,94.17,89.34,90.03,23379300,84.78,-3.714,84.66928571,110.7542,Red,Red,-1.3274000000000001,4.305766168755567
