Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2017-04-07,2017,4,7,Friday,14,2017-14,85.93,86.81,85.71,86.18,13097100,75.59,-0.003468799513326015,76.38428571428571,77.62679999999999
2017-04-10,2017,4,10,Monday,15,2017-15,86.08,86.69,85.4,85.88,15081600,75.32,-0.0034813786465349716,76.32071428571429,77.617
2017-04-11,2017,4,11,Tuesday,15,2017-15,85.54,85.79,84.8,85.73,14690500,75.19,-0.0017462134061179135,76.23928571428571,77.6204
2017-04-12,2017,4,12,Wednesday,15,2017-15,85.93,85.95,85.03,85.4,14730600,74.9,-0.0038496071909119856,76.14571428571428,77.6424
2017-04-13,2017,4,13,Thursday,15,2017-15,85.5,86.99,84.4,84.4,30529800,74.03,-0.011709365954711393,75.99642857142858,77.64139999999999
2017-04-17,2017,4,17,Monday,16,2017-16,84.44,86.08,84.37,85.86,19071700,75.31,0.017298361592442912,75.94142857142857,77.67219999999999
2017-04-18,2017,4,18,Tuesday,16,2017-16,85.36,85.63,84.74,85.16,14127000,74.69,-0.008152581639032652,75.75714285714285,77.6454
2017-04-19,2017,4,19,Wednesday,16,2017-16,85.5,85.92,84.36,84.46,17588500,74.08,-0.00821989897265818,75.55,77.61359999999999
2017-04-20,2017,4,20,Thursday,16,2017-16,84.98,85.78,84.55,85.55,15635800,75.03,0.012905644442842368,75.36357142857142,77.6016
2017-04-21,2017,4,21,Friday,16,2017-16,85.5,85.68,84.51,84.52,19820600,74.13,-0.012040031487999148,75.18714285714285,77.585
2017-04-24,2017,4,24,Monday,17,2017-17,86.55,88.05,86.42,87.5,25468300,76.74,0.03525795337101645,75.21714285714286,77.59899999999999
2017-04-25,2017,4,25,Tuesday,17,2017-17,88.55,89.13,88.26,88.26,18253800,77.41,0.008685928700069123,75.27642857142857,77.62979999999999
2017-04-26,2017,4,26,Wednesday,17,2017-17,88.35,89.05,88.14,88.43,12832200,77.56,0.0019258061972720064,75.41642857142857,77.6436
2017-04-27,2017,4,27,Thursday,17,2017-17,88.37,88.37,87.01,87.61,13329000,76.84,-0.00927262997814271,75.48714285714286,77.6184
2017-04-28,2017,4,28,Friday,17,2017-17,87.6,87.85,86.95,87.0,10755600,76.31,-0.0069625955960651575,75.53857142857143,77.56459999999998
2017-05-01,2017,5,1,Monday,18,2017-18,87.36,87.74,86.56,87.06,15712300,76.36,0.0006895931130674882,75.61285714285714,77.5128
2017-05-02,2017,5,2,Tuesday,18,2017-18,86.71,86.88,86.02,86.5,14414200,75.87,-0.006432466495551181,75.66142857142857,77.45639999999999
2017-05-03,2017,5,3,Wednesday,18,2017-18,86.06,87.1,86.02,87.0,11540500,76.31,0.005780531669735245,75.76214285714286,77.3952
2017-05-04,2017,5,4,Thursday,18,2017-18,87.69,87.73,86.57,87.1,11540100,76.39,0.001149121886107718,75.93071428571429,77.3348
2017-05-05,2017,5,5,Friday,18,2017-18,87.25,87.34,86.42,87.0,9436000,76.31,-0.0011478029206506424,76.00214285714286,77.27159999999999
2017-05-08,2017,5,8,Monday,19,2017-19,87.04,87.32,86.65,87.1,8162200,76.39,0.001149121886107718,76.12357142857142,77.22399999999999
2017-05-09,2017,5,9,Tuesday,19,2017-19,87.26,87.84,86.5,86.75,10273900,76.09,-0.004018358854546045,76.26714285714286,77.1686
2017-05-10,2017,5,10,Wednesday,19,2017-19,86.53,87.48,86.47,87.43,8334900,76.68,0.00783871581992912,76.38499999999999,77.1216
2017-05-11,2017,5,11,Thursday,19,2017-19,87.09,87.48,86.35,87.16,10907400,76.45,-0.00308795728496547,76.55071428571429,77.018
2017-05-12,2017,5,12,Friday,19,2017-19,86.68,87.05,86.34,86.92,8738800,76.24,-0.002753708004755273,76.515,76.9358
2017-05-15,2017,5,15,Monday,20,2017-20,87.1,87.49,86.86,87.34,8835600,76.6,0.004831995510166109,76.45714285714287,76.8492
2017-05-16,2017,5,16,Tuesday,20,2017-20,87.36,88.09,87.34,87.61,9795000,76.84,0.0030914379419229032,76.4057142857143,76.7828
2017-05-17,2017,5,17,Wednesday,20,2017-20,87.61,87.61,83.97,84.27,24679700,73.91,-0.038123648747601546,76.19642857142857,76.6666
